libprotoc10:arm64	3.0.0-9
libpsl5:arm64	0.17.0-3
libpthread-stubs0-dev:arm64	0.3-4
libpython-stdlib:arm64	2.7.13-2
libpython2.7:arm64	2.7.13-2+deb9u4
libpython2.7-minimal:arm64	2.7.13-2+deb9u4
libpython2.7-stdlib:arm64	2.7.13-2+deb9u4
libpython3-dev:arm64	3.5.3-1
libpython3-stdlib:arm64	3.5.3-1
libpython3.5:arm64	3.5.3-1+deb9u2
libpython3.5-dev:arm64	3.5.3-1+deb9u2
libpython3.5-minimal:arm64	3.5.3-1+deb9u2
libpython3.5-stdlib:arm64	3.5.3-1+deb9u2
libreadline7:arm64	7.0-3
librtmp1:arm64	2.4+20151223.gitfa8646d.1-1+b1
libsasl2-2:arm64	2.1.27~101-g0780600+dfsg-3+deb9u1
libsasl2-modules:arm64	2.1.27~101-g0780600+dfsg-3+deb9u1
libsasl2-modules-db:arm64	2.1.27~101-g0780600+dfsg-3+deb9u1
libseccomp2:arm64	2.3.1-2.1+deb9u1
libselinux1:arm64	2.6-3+b3
libsemanage-common	2.6-2
libsemanage1:arm64	2.6-2
libsensors4:arm64	1:3.4.0-4
libsepol1:arm64	2.6-2
libsigsegv2:arm64	2.10-5
libsmartcols1:arm64	2.29.2-1+deb9u1
libsqlite3-0:arm64	3.16.2-5+deb9u2
libss2:arm64	1.43.4-2+deb9u2
libssh2-1:arm64	1.7.0-1+deb9u1
libssl-dev:arm64	1.1.0l-1~deb9u1
libssl-doc	1.1.0l-1~deb9u1
libssl1.0.2:arm64	1.0.2u-1~deb9u2
libssl1.1:arm64	1.1.0l-1~deb9u1
libstdc++-6-dev:arm64	6.3.0-18+deb9u1
libstdc++6:arm64	6.3.0-18+deb9u1
libsys-hostname-long-perl	1.5-1
libsystemd0:arm64	232-25+deb9u12
libtasn1-6:arm64	4.10-1.1+deb9u1
libtimedate-perl	2.3000-2+deb9u1
libtinfo5:arm64	6.0+20161126-1+deb9u2
libtool	2.4.6-2
libtxc-dxtn-s2tc:arm64	1.0+git20151227-2
libubsan0:arm64	6.3.0-18+deb9u1
libudev1:arm64	232-25+deb9u12
libunistring0:arm64	0.9.6+really0.9.3-0.1
libusb-1.0-0:arm64	2:1.0.21-1
libusb-1.0-0-dev:arm64	2:1.0.21-1
libusb-1.0-doc	2:1.0.21-1
libustr-1.0-1:arm64	1.0.4-6
libuuid1:arm64	2.29.2-1+deb9u1
libuv1:arm64	1.9.1-3
libwayland-bin	1.12.0-1+deb9u1
libwayland-client0:arm64	1.12.0-1+deb9u1
libwayland-cursor0:arm64	1.12.0-1+deb9u1
libwayland-dev:arm64	1.12.0-1+deb9u1
libwayland-egl1-mesa:arm64	13.0.6-1+b2
libwayland-server0:arm64	1.12.0-1+deb9u1
libwrap0:arm64	7.6.q-26
libx11-6:arm64	2:1.6.4-3+deb9u3
libx11-data	2:1.6.4-3+deb9u3
libx11-dev:arm64	2:1.6.4-3+deb9u3
libx11-doc	2:1.6.4-3+deb9u3
libx11-xcb-dev:arm64	2:1.6.4-3+deb9u3
libx11-xcb1:arm64	2:1.6.4-3+deb9u3
libxau-dev:arm64	1:1.0.8-1
libxau6:arm64	1:1.0.8-1
libxcb-dri2-0:arm64	1.12-1
libxcb-dri2-0-dev:arm64	1.12-1
libxcb-dri3-0:arm64	1.12-1
libxcb-dri3-dev:arm64	1.12-1
libxcb-glx0:arm64	1.12-1
libxcb-glx0-dev:arm64	1.12-1
libxcb-present-dev:arm64	1.12-1
libxcb-present0:arm64	1.12-1
libxcb-randr0:arm64	1.12-1
libxcb-randr0-dev:arm64	1.12-1
libxcb-render0:arm64	1.12-1
libxcb-render0-dev:arm64	1.12-1
libxcb-shape0:arm64	1.12-1
libxcb-shape0-dev:arm64	1.12-1
libxcb-sync-dev:arm64	1.12-1
libxcb-sync1:arm64	1.12-1
libxcb-xfixes0:arm64	1.12-1
libxcb-xfixes0-dev:arm64	1.12-1
libxcb1:arm64	1.12-1
libxcb1-dev:arm64	1.12-1
libxdamage-dev:arm64	1:1.1.4-2+b3
libxdamage1:arm64	1:1.1.4-2+b3
libxdmcp-dev:arm64	1:1.1.2-3
libxdmcp6:arm64	1:1.1.2-3
